positionId,positionName,companyFullName,companySize,industryField,financeStage,createTime,city,salary,workYear,jobNature,education
4845301,高级python开发工程师,杭州兑吧网络科技有限公司,500-2000人,移动互联网,上市公司,2020-04-07 19:34:18,杭州,15k-30k,1-3年,全职,本科
5385826,资深 Python 后端开发工程师,力扣信息科技（上海）有限公司,15-50人,移动互联网,未融资,2020-04-07 19:33:37,上海,20k-40k,5-10年,全职,本科
6625369,Python开发工程师,北京艨艟信息技术有限公司,50-150人,游戏 软件开发,不需要融资,2020-04-07 19:32:52,北京,15k-30k,1-3年,全职,本科
6933518,python开发,易宝软件科技（南京）有限公司,150-500人,移动互联网,上市公司,2020-04-07 20:18:32,杭州,10k-20k,不限,全职,本科
5455110,核心客户端开发工程师【Python】,深圳淘乐网络科技有限公司,150-500人,游戏,不需要融资,2020-04-07 19:55:04,深圳,10k-20k,1-3年,全职,本科
5939447,python后台开发（深圳）,腾讯科技（深圳）有限公司,2000人以上,社交,上市公司,2020-04-07 19:50:35,北京,30k-50k,3-5年,全职,本科
6915019,python大数据后台开发,深圳十方融海科技有限公司,150-500人,移动互联网 教育,A轮,2020-04-07 19:44:46,深圳,12k-18k,1-3年,全职,本科
6818007,Python开发工程师,广州悦谦科技有限公司,50-150人,移动互联网,不需要融资,2020-04-07 19:44:42,广州,15k-30k,3-5年,全职,本科
6943562,中高级python开发工程师,广州回头车信息科技有限公司,150-500人,消费生活,A轮,2020-04-07 19:44:05,广州,15k-30k,3-5年,全职,本科
5824614,python后端开发人员（初级）,上海西井信息科技有限公司,150-500人,数据服务 硬件,B轮,2020-04-07 19:34:22,上海,8k-12k,1-3年,全职,本科
5597903,python开发工程师,深信服科技股份有限公司,2000人以上,信息安全 企业服务,不需要融资,2020-04-07 19:31:11,深圳,11k-22k,不限,全职,本科
6901181,后端研发工程师（ Python ）,北京传奇极客管理咨询有限公司,50-150人,移动互联网 文娱丨内容,B轮,2020-04-07 19:29:58,成都,8k-10k,1-3年,全职,本科
5077339,Python助教,北京奥鹏远程教育中心有限公司,50-150人,移动互联网 教育,不需要融资,2020-04-07 19:29:55,北京,6k-12k,1-3年,全职,本科
6905412,Python后端开发工程师,江西点内人工智能科技有限公司,15-50人,其他,A轮,2020-04-07 19:28:45,上海,15k-30k,3-5年,全职,本科
6973280,python开发,深圳市博悦科创科技有限公司,500-2000人,移动互联网,不需要融资,2020-04-07 19:28:17,深圳,13k-15k,3-5年,全职,本科
